
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1500-06-21   | 00:00:00   | 08h36m01s    | 20°21'42"    | 0.01 AU      | 37.021°
1510-06-21   | 00:00:00   | 04h31m50s    | 19°12'27"    | 0.00 AU      | 19.735°
1520-06-21   | 00:00:00   | 03h39m19s    | 18°03'20"    | 0.01 AU      | 32.579°
1530-06-21   | 00:00:00   | 06h13m49s    | 23°58'09"    | 0.02 AU      | 4.270°
1540-06-21   | 00:00:00   | 08h46m28s    | 19°43'08"    | 0.01 AU      | 39.269°
1550-06-21   | 00:00:00   | 03h41m52s    | 16°38'11"    | 0.00 AU      | 32.138°
1560-06-21   | 00:00:00   | 03h51m30s    | 18°52'46"    | 0.01 AU      | 29.862°
1570-06-21   | 00:00:00   | 06h28m30s    | 23°59'35"    | 0.02 AU      | 7.330°
1580-06-21   | 00:00:00   | 08h55m50s    | 19°05'02"    | 0.01 AU      | 41.277°
1590-06-21   | 00:00:00   | 03h12m29s    | 14°48'38"    | 0.00 AU      | 39.711°
1600-06-21   | 00:00:00   | 04h04m10s    | 19°40'06"    | 0.01 AU      | 27.061°
1610-06-21   | 00:00:00   | 06h43m08s    | 23°55'34"    | 0.02 AU      | 10.379°
1620-06-21   | 00:00:00   | 09h03m48s    | 18°29'06"    | 0.01 AU      | 42.965°
1630-06-21   | 00:00:00   | 02h57m07s    | 13°49'45"    | 0.01 AU      | 43.835°
1640-06-21   | 00:00:00   | 04h17m14s    | 20°24'43"    | 0.02 AU      | 24.193°
1650-06-21   | 00:00:00   | 06h57m38s    | 23°46'13"    | 0.02 AU      | 13.411°
1660-06-21   | 00:00:00   | 09h09m55s    | 17°57'36"    | 0.01 AU      | 44.217°
1670-06-21   | 00:00:00   | 02h50m36s    | 13°28'56"    | 0.01 AU      | 45.731°
1680-06-21   | 00:00:00   | 04h30m39s    | 21°06'03"    | 0.02 AU      | 21.270°
1690-06-21   | 00:00:00   | 07h11m59s    | 23°31'39"    | 0.02 AU      | 16.418°
1700-06-21   | 00:00:00   | 09h09m35s    | 17°54'41"    | 0.01 AU      | 44.824°
1710-06-21   | 00:00:00   | 02h45m52s    | 13°17'43"    | 0.01 AU      | 46.207°
1720-06-21   | 00:00:00   | 04h39m09s    | 21°31'56"    | 0.02 AU      | 18.570°
1730-06-21   | 00:00:00   | 07h20m51s    | 23°21'32"    | 0.02 AU      | 19.127°
1740-06-21   | 00:00:00   | 09h09m55s    | 17°41'54"    | 0.01 AU      | 44.672°
1750-06-21   | 00:00:00   | 02h48m28s    | 13°38'32"    | 0.01 AU      | 45.780°
1760-06-21   | 00:00:00   | 04h53m06s    | 22°06'56"    | 0.02 AU      | 15.572°
1770-06-21   | 00:00:00   | 07h34m47s    | 22°59'05"    | 0.02 AU      | 22.064°
1780-06-21   | 00:00:00   | 09h05m02s    | 17°46'12"    | 0.01 AU      | 43.245°
1790-06-21   | 00:00:00   | 02h53m45s    | 14°11'23"    | 0.01 AU      | 44.678°
1800-06-21   | 00:00:00   | 05h01m58s    | 22°28'30"    | 0.02 AU      | 12.817°
1810-06-21   | 00:00:00   | 07h43m13s    | 22°44'34"    | 0.01 AU      | 24.693°
1820-06-21   | 00:00:00   | 08h49m50s    | 18°31'29"    | 0.00 AU      | 40.235°
1830-06-21   | 00:00:00   | 02h56m30s    | 14°32'47"    | 0.01 AU      | 43.262°
1840-06-21   | 00:00:00   | 05h16m18s    | 22°56'04"    | 0.02 AU      | 9.773°
1850-06-21   | 00:00:00   | 07h56m33s    | 22°15'19"    | 0.01 AU      | 27.520°
1860-06-21   | 00:00:00   | 08h25m20s    | 19°27'09"    | 0.00 AU      | 34.100°
1870-06-21   | 00:00:00   | 03h05m00s    | 15°18'22"    | 0.01 AU      | 41.360°
1880-06-21   | 00:00:00   | 05h30m46s    | 23°18'39"    | 0.02 AU      | 6.715°
1890-06-21   | 00:00:00   | 08h09m26s    | 21°42'29"    | 0.01 AU      | 30.270°
1900-06-21   | 00:00:00   | 07h42m42s    | 20°54'17"    | 0.00 AU      | 24.688°
